Placa,Fabricação,Combustível,Planta do Veículo,Modelo,Carroceria,Chassi,Nº do Chassi,Ordem,Tipo de Veículo,Data Inclusão
LRH3241,2011,Diesel,2664,LO-915,NEOBUS - SAN MARINO,MERCEDES BENZ,9BM688277BB784683,A71522 ,27 MINIONBUS URBAN C/AR C/ELEV,07/07/11 14:03
LQV8657,2013,Diesel,2923,MBB OF 1721 EURO V,MARCOPOLO,MERCEDES BENZ,9BM384078DB906123,A71523 ,30 ONBUS BASIC URB S/AR C/ELEV,28/08/13 18:38
KPY8433,2014,Diesel,2967,MBB OF 1721 EURO V,MARCOPOLO,MERCEDES BENZ,9BM384078EB947795,A71524 ,31 ONBUS BASIC URB C/AR C/ELEV,04/08/14 10:20
LQC6569,2011,Diesel,2634,OF-1722,INDUSCAR - CAIO,MERCEDES BENZ,9BM384078CB831843,A71525 ,30 ONBUS BASIC URB S/AR C/ELEV,02/05/12 14:27
KRF3793,2012,Diesel,2847,MBB OF 1721 EURO V,INDUSCAR - CAIO,MERCEDES BENZ,9BM384078CB868892,A71526 ,30 ONBUS BASIC URB S/AR C/ELEV,05/02/13 17:10
LQD8549,2011,Diesel,2634,OF-1722,INDUSCAR - CAIO,MERCEDES BENZ,9BM384078CB831848,A71527 ,30 ONBUS BASIC URB S/AR C/ELEV,02/05/12 14:27
KZP7057,2011,Diesel,2634,OF-1722,INDUSCAR - CAIO,MERCEDES BENZ,9BM384078CB831866,A71528 ,30 ONBUS BASIC URB S/AR C/ELEV,27/02/12 17:22
KVO9949,2011,Diesel,2634,OF-1722,INDUSCAR - CAIO,MERCEDES BENZ,9BM384078CB831834,A71529 ,30 ONBUS BASIC URB S/AR C/ELEV,27/02/12 17:22
KVO9956,2011,Diesel,2634,OF-1722,INDUSCAR - CAIO,MERCEDES BENZ,9BM384078CB831345,A71530 ,30 ONBUS BASIC URB S/AR C/ELEV,27/02/12 17:22
KVO9954,2011,Diesel,2636,OF-1418,INDUSCAR - CAIO,MERCEDES BENZ,9BM384078CB831809,A71531 ,28 MIDIONBUS URBAN S/AR C/ELEV,27/02/12 17:23
KYQ4337,2012,Diesel,2847,MBB OF 1721 EURO V,INDUSCAR - CAIO,MERCEDES BENZ,9BM384078CB857446,A71532 ,30 ONBUS BASIC URB S/AR C/ELEV,21/08/12 16:41
LLM4139,2011,Diesel,2664,LO-915,NEOBUS - SAN MARINO,MERCEDES BENZ,9BM688277BB784705,A71533 ,27 MINIONBUS URBAN C/AR C/ELEV,07/07/11 14:04
LLP8955,2011,Diesel,2634,OF-1722,INDUSCAR - CAIO,MERCEDES BENZ,9BM384078CB831857,A71534 ,30 ONBUS BASIC URB S/AR C/ELEV,02/05/12 14:27
LUD3716,2011,Diesel,2769,OF-1722,MARCOPOLO,MERCEDES BENZ,9BM384078BB785648,A71535 ,30 ONBUS BASIC URB S/AR C/ELEV,05/08/11 17:16
