Placa,Fabricação,Combustível,Planta do Veículo,Modelo,Carroceria,Chassi,Nº do Chassi,Ordem,Tipo de Veículo,Data Inclusão
LRX7518,2015,Diesel,3026,MBB OF 1721 EURO V,INDUSCAR - CAIO,MERCEDES BENZ,9BM384078FB005616,B27027 ,31 ONBUS BASIC URB C/AR C/ELEV,07/05/15 14:45
KWP6816,2014,Diesel,2993,MBB OF 1721 EURO V,NEOBUS - SAN MARINO,MERCEDES BENZ,9BM384078FB980326,B27031 ,31 ONBUS BASIC URB C/AR C/ELEV,27/01/15 16:02
LRX7519,2015,Diesel,3013,MBB OF 1721 EURO V,INDUSCAR - CAIO,MERCEDES BENZ,9BM384078FB005598,B27032 ,31 ONBUS BASIC URB C/AR C/ELEV,07/05/15 14:45
KWP6817,2015,Diesel,2993,MBB OF 1721 EURO V,NEOBUS - SAN MARINO,MERCEDES BENZ,9BM384078FB980328,B27033 ,31 ONBUS BASIC URB C/AR C/ELEV,27/01/15 16:03
KPU3727,2013,Diesel,2888,MBB OF 1721 EURO V,MARCOPOLO,MERCEDES BENZ,9BM384078EB930158,B27036 ,30 ONBUS BASIC URB S/AR C/ELEV,25/10/13 17:17
KWP6818,2014,Diesel,2993,MBB OF 1721 EURO V,NEOBUS - SAN MARINO,MERCEDES BENZ,9BM384078FB980330,B27037 ,31 ONBUS BASIC URB C/AR C/ELEV,27/01/15 16:03
KQX3551,2015,Diesel,3013,MBB OF 1721 EURO V,INDUSCAR - CAIO,MERCEDES BENZ,9BM384078FB005085,B27039 ,31 ONBUS BASIC URB C/AR C/ELEV,07/05/15 14:46
KYN5916,2011,Diesel,2751,OF-1722,MARCOPOLO,MERCEDES BENZ,9BM384078BB786050,B27040 ,30 ONBUS BASIC URB S/AR C/ELEV,14/07/11 14:44
LLF2801,2010,Diesel,2724,OF-1722,INDUSCAR - CAIO,MERCEDES BENZ,9BM384078AB696394,B27042 ,30 ONBUS BASIC URB S/AR C/ELEV,09/11/10 18:06
LSH7119,2015,Diesel,3013,MBB OF 1721 EURO V,INDUSCAR - CAIO,MERCEDES BENZ,9BM384078FB005590,B27043 ,31 ONBUS BASIC URB C/AR C/ELEV,07/05/15 14:47
LLF2792,2010,Diesel,2724,OF-1722,INDUSCAR - CAIO,MERCEDES BENZ,9BM384078AB696413,B27044 ,30 ONBUS BASIC URB S/AR C/ELEV,09/11/10 18:06
